Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDU59,Low Fat,Breads,OUT049,1999,Tier 1,Supermarket Type1,3574.0144
DRG11,Low Fat,Hard Drinks,OUT045,2002,Tier 2,Supermarket Type1,1186.4556
FDA36,Low Fat,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,3146.5708
FDA15,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,6474.2392
FDZ03,Regular,Dairy,OUT010,1998,Tier 3,Grocery Store,745.696
FDJ16,Low Fat,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,1853.5872
FDZ12,Low Fat,Baking Goods,OUT049,1999,Tier 1,Supermarket Type1,3006.087
FDH09,Low Fat,Seafood,OUT045,2002,Tier 2,Supermarket Type1,736.3748
FDT13,Low Fat,Canned,OUT017,2007,Tier 2,Supermarket Type1,3956.8494
FDU20,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,1807.647
DRH25,Low Fat,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,467.3916
FDK26,Regular,Canned,OUT045,2002,Tier 2,Supermarket Type1,3542.056
FDU32,Low Fat,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,1949.4624
FDI22,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,3344.9792
NCB54,Low Fat,Health and Hygiene,OUT018,2009,Tier 3,Supermarket Type2,2684.5056
FDX46,Regular,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,592.562
NCC07,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,736.3748
FDQ34,Low Fat,Snack Foods,OUT019,1985,Tier 1,Grocery Store,211.7244
FDM16,Regular,Frozen Foods,OUT018,2009,Tier 3,Supermarket Type2,1279.0018
FDJ55,Regular,Meat,OUT027,1985,Tier 3,Supermarket Type3,7201.2928
DRI01,Low Fat,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,3103.9596
FDD50,Low Fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,1522.0188
FDJ08,Low Fat,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,2101.9306
NCK18,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,2972.1312
FDQ14,Low Fat,Dairy,OUT010,1998,Tier 3,Grocery Store,149.805
FDS51,Low Fat,Meat,OUT046,1997,Tier 1,Supermarket Type1,433.4358
FDA04,Regular,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,4920.9278
FDP10,Low Fat,Snack Foods,OUT017,2007,Tier 2,Supermarket Type1,1164.4842
FDT36,Low Fat,Baking Goods,OUT045,2002,Tier 2,Supermarket Type1,846.8976
FDH38,Low Fat,Canned,OUT017,2007,Tier 2,Supermarket Type1,2812.3392
FDC16,Regular,Dairy,OUT018,2009,Tier 3,Supermarket Type2,865.54
FDF17,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,2946.165
FDU23,Low Fat,Breads,OUT013,1987,Tier 3,Supermarket Type1,3137.2496
FDB34,Low Fat,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,1657.1762
FDW26,Regular,Dairy,OUT013,1987,Tier 3,Supermarket Type1,3113.2808
FDP45,Regular,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,1510.0344
FDD38,Regular,Canned,OUT046,1997,Tier 1,Supermarket Type1,1629.8784
FDM60,Regular,Baking Goods,OUT049,1999,Tier 1,Supermarket Type1,690.4346
FDW26,Regular,Dairy,OUT035,2004,Tier 2,Supermarket Type1,4447.544
FDV51,Low Fat,Meat,OUT027,1985,Tier 3,Supermarket Type3,5470.8786
FDT33,Regular,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,2673.8528
FDQ40,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,3339.6528
FDX40,Low Fat,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,502.0132
FDU31,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,3038.7112
DRJ01,Low Fat,Soft Drinks,OUT046,1997,Tier 1,Supermarket Type1,1288.9888
FDP11,Low Fat,Breads,OUT027,1985,Tier 3,Supermarket Type3,4354.332
NCN43,Low Fat,Others,OUT027,1985,Tier 3,Supermarket Type3,3202.498
FDA15,Low Fat,Dairy,OUT018,2009,Tier 3,Supermarket Type2,5976.2208
FDO04,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,884.1824
NCF43,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,3006.087
NCI17,Low Fat,Health and Hygiene,OUT017,2007,Tier 2,Supermarket Type1,3282.394
FDY47,Regular,Breads,OUT013,1987,Tier 3,Supermarket Type1,1038.648
FDF20,Low Fat,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,6306.4576
NCS53,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,2693.8268
FDK38,Low Fat,Canned,OUT049,1999,Tier 1,Supermarket Type1,2524.0478
FDW43,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,3643.2576
FDV57,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,1438.128
FDX26,Low Fat,Dairy,OUT017,2007,Tier 2,Supermarket Type1,4195.8716
FDR04,Low Fat,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,1263.6884
FDP19,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,2066.6432
FDT07,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,1281.665
DRB24,Low Fat,Soft Drinks,OUT049,1999,Tier 1,Supermarket Type1,4016.1056
FDB36,Regular,Baking Goods,OUT046,1997,Tier 1,Supermarket Type1,3672.5528
NCE07,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,2127.231
FDI16,Regular,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,2290.352
FDP45,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,1258.362
NCC43,low fat,Household,OUT013,1987,Tier 3,Supermarket Type1,4267.1122
FDQ23,Low Fat,Breads,OUT019,1985,Tier 1,Grocery Store,102.5332
FDW24,Low Fat,Baking Goods,OUT035,2004,Tier 2,Supermarket Type1,291.6204
FDW09,Regular,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,2139.2154
FDN10,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,1540.6612
FDE23,Regular,Starchy Foods,OUT035,2004,Tier 2,Supermarket Type1,1724.422
FDV16,Regular,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,645.1602
FDF12,Low Fat,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,3990.8052
FDN21,Low Fat,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,1611.236
DRC25,Low Fat,Soft Drinks,OUT046,1997,Tier 1,Supermarket Type1,1116.5466
NCP18,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,1203.7664
FDW60,Regular,Baking Goods,OUT013,1987,Tier 3,Supermarket Type1,2999.429
FDY04,Regular,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,3425.541
NCJ31,Low Fat,Others,OUT027,1985,Tier 3,Supermarket Type3,4579.3724
DRN47,Low Fat,Hard Drinks,OUT013,1987,Tier 3,Supermarket Type1,4134.618
FDU13,Low Fat,Canned,OUT013,1987,Tier 3,Supermarket Type1,3384.2614
FDT39,Regular,Meat,OUT010,1998,Tier 3,Grocery Store,453.4098
NCQ18,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,2097.27
FDV25,low fat,Canned,OUT013,1987,Tier 3,Supermarket Type1,6852.4136
NCE30,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,1486.7314
NCN42,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,3531.4032
FDW25,Low Fat,Canned,OUT049,1999,Tier 1,Supermarket Type1,1448.7808
FDS49,Low Fat,Canned,OUT013,1987,Tier 3,Supermarket Type1,1335.5948
FDN34,Regular,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,2367.5848
FDS45,Regular,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,2011.3818
NCL53,Low Fat,Health and Hygiene,OUT027,1985,Tier 3,Supermarket Type3,6729.9064
FDT38,Low Fat,Dairy,OUT049,1999,Tier 1,Supermarket Type1,1860.2452
NCX06,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,3440.8544
NCY17,Low Fat,Health and Hygiene,OUT013,1987,Tier 3,Supermarket Type1,1070.6064
NCO18,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,1422.1488
FDY47,Regular,Breads,OUT010,1998,Tier 3,Grocery Store,129.831
FDF57,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,3408.896
FDS26,Low Fat,Dairy,OUT049,1999,Tier 1,Supermarket Type1,3139.9128
NCL17,Low Fat,Health and Hygiene,OUT035,2004,Tier 2,Supermarket Type1,3704.5112
NCB18,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,2656.542
FDA50,Low Fat,Dairy,OUT010,1998,Tier 3,Grocery Store,193.082
DRE13,Low Fat,Soft Drinks,OUT049,1999,Tier 1,Supermarket Type1,1395.5168
DRE60,Low Fat,Soft Drinks,OUT013,1987,Tier 3,Supermarket Type1,3621.952
FDB20,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,778.986
NCS18,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,2465.4574
FDH19,Low Fat,Meat,OUT019,1985,Tier 1,Grocery Store,347.5476
FDS47,Low Fat,Breads,OUT045,2002,Tier 2,Supermarket Type1,966.7416
FDC09,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,922.7988
DRG23,Low Fat,Hard Drinks,OUT049,1999,Tier 1,Supermarket Type1,1219.7456
FDU34,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,747.0276
FDZ40,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,539.298
NCE30,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,4460.1942
FDA44,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,1018.674
FDB32,Low Fat,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,2816.334
NCO06,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,101.8674
FDY44,Regular,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,2553.343
FDG10,Regular,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,343.5528
FDF38,Regular,Canned,OUT046,1997,Tier 1,Supermarket Type1,365.5242
FDW59,Low Fat,Breads,OUT019,1985,Tier 1,Grocery Store,169.1132
FDP34,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,4224.501
FDZ26,Regular,Dairy,OUT017,2007,Tier 2,Supermarket Type1,4063.3774
FDH17,Regular,Frozen Foods,OUT019,1985,Tier 1,Grocery Store,293.6178
FDU44,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,3411.5592
FDS23,Low Fat,Breads,OUT049,1999,Tier 1,Supermarket Type1,2698.4874
DRE03,Low Fat,Dairy,OUT018,2009,Tier 3,Supermarket Type2,425.4462
FDY57,Regular,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,2588.6304
FDH50,Regular,Canned,OUT027,1985,Tier 3,Supermarket Type3,5901.6512
DRY23,Regular,Soft Drinks,OUT046,1997,Tier 1,Supermarket Type1,511.3344
FDT27,Regular,Meat,OUT035,2004,Tier 2,Supermarket Type1,2812.3392
FDB38,Regular,Canned,OUT018,2009,Tier 3,Supermarket Type2,2556.672
FDY16,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,3504.1054
FDG33,Regular,Seafood,OUT010,1998,Tier 3,Grocery Store,171.7764
FDN04,Regular,Frozen Foods,OUT018,2009,Tier 3,Supermarket Type2,535.3032
FDJ48,Low Fat,Baking Goods,OUT017,2007,Tier 2,Supermarket Type1,2470.118
NCC07,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,525.982
FDI35,Low Fat,Starchy Foods,OUT049,1999,Tier 1,Supermarket Type1,4544.085
DRH49,Low Fat,Soft Drinks,OUT046,1997,Tier 1,Supermarket Type1,743.0328
FDY51,Low Fat,Meat,OUT046,1997,Tier 1,Supermarket Type1,4848.3556
NCG07,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,2656.542
FDA22,Low Fat,Starchy Foods,OUT046,1997,Tier 1,Supermarket Type1,2840.9686
FDA33,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,2956.152
FDV03,Low Fat,Meat,OUT013,1987,Tier 3,Supermarket Type1,1861.5768
FDP27,Low Fat,Meat,OUT045,2002,Tier 2,Supermarket Type1,4364.319
FDZ20,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,2797.6916
FDR56,Regular,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,2759.0752
NCV41,Low Fat,Health and Hygiene,OUT027,1985,Tier 3,Supermarket Type3,2431.5016
FDU11,Low Fat,Breads,OUT035,2004,Tier 2,Supermarket Type1,2530.7058
NCB30,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,4761.8016
FDX23,Low Fat,Baking Goods,OUT018,2009,Tier 3,Supermarket Type2,1229.0668
FDY24,Regular,Baking Goods,OUT013,1987,Tier 3,Supermarket Type1,647.1576
FDZ37,Regular,Canned,OUT013,1987,Tier 3,Supermarket Type1,261.6594
FDL10,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,1686.4714
NCE18,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,2996.1
FDY60,Regular,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,4458.1968
FDT24,Regular,Baking Goods,OUT013,1987,Tier 3,Supermarket Type1,2239.7512
NCV06,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,2712.4692
FDP51,Regular,Meat,OUT019,1985,Tier 1,Grocery Store,592.562
FDU49,Regular,Canned,OUT035,2004,Tier 2,Supermarket Type1,2163.85
FDQ16,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,3275.736
FDV16,Regular,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,679.116
FDL36,Low Fat,Baking Goods,OUT018,2009,Tier 3,Supermarket Type2,988.713
FDE09,Low Fat,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,1768.3648
NCV54,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,1540.6612
FDH27,Low Fat,Dairy,OUT017,2007,Tier 2,Supermarket Type1,2588.6304
FDF33,Low Fat,Seafood,OUT035,2004,Tier 2,Supermarket Type1,3020.0688
NCP18,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,2858.9452
FDZ45,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,3968.168
FDU25,Low Fat,Canned,OUT027,1985,Tier 3,Supermarket Type3,1737.738
FDQ40,Regular,Frozen Foods,OUT010,1998,Tier 3,Grocery Store,175.7712
DRD25,Low Fat,Soft Drinks,OUT019,1985,Tier 1,Grocery Store,452.744
FDJ57,Regular,Seafood,OUT010,1998,Tier 3,Grocery Store,185.7582
FDT43,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,934.7832
FDH44,Regular,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,1765.7016
FDR31,Regular,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,291.6204
FDQ27,Regular,Meat,OUT018,2009,Tier 3,Supermarket Type2,1651.184
DRK13,Low Fat,Soft Drinks,OUT049,1999,Tier 1,Supermarket Type1,4563.3932
FDB04,Regular,Dairy,OUT046,1997,Tier 1,Supermarket Type1,1494.0552
NCI54,low fat,Household,OUT045,2002,Tier 2,Supermarket Type1,1419.4856
FDP19,Low Fat,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,1291.652
FDB37,Regular,Baking Goods,OUT035,2004,Tier 2,Supermarket Type1,7931.6754
NCR05,Low Fat,Health and Hygiene,OUT013,1987,Tier 3,Supermarket Type1,595.2252
FDZ15,Low Fat,Dairy,OUT045,2002,Tier 2,Supermarket Type1,2026.0294
NCQ29,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,2603.278
FDL04,Low Fat,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,2117.244
DRH49,Low Fat,Soft Drinks,OUT018,2009,Tier 3,Supermarket Type2,247.6776
FDT07,Regular,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,256.333
NCI55,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,2680.5108
FDP19,Low Fat,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,3487.4604
FDV45,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,2816.334
FDG26,Low Fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,2050.664
DRJ01,Low Fat,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,1288.9888
FDD14,Low Fat,Canned,OUT035,2004,Tier 2,Supermarket Type1,3688.532
DRH37,Low Fat,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,1644.526
NCD18,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,5298.4364
NCE55,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,2117.244
NCQ43,Low Fat,Others,OUT017,2007,Tier 2,Supermarket Type1,327.5736
FDC41,Low Fat,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,1837.608
DRL01,Regular,Soft Drinks,OUT019,1985,Tier 1,Grocery Store,934.7832
FDX48,Regular,Baking Goods,OUT010,1998,Tier 3,Grocery Store,308.9312
DRC25,Low Fat,Soft Drinks,OUT010,1998,Tier 3,Grocery Store,171.7764
DRF48,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,1496.7184
FDT34,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,525.982
NCB43,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,3928.8858
FDG44,Low Fat,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,161.7894
FDD35,Low Fat,Starchy Foods,OUT035,2004,Tier 2,Supermarket Type1,2636.568
FDC02,Low Fat,Canned,OUT013,1987,Tier 3,Supermarket Type1,3644.5892
FDU51,Regular,Meat,OUT018,2009,Tier 3,Supermarket Type2,6729.9064
NCC19,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,2316.984
FDJ60,Regular,Baking Goods,OUT046,1997,Tier 1,Supermarket Type1,3302.368
NCI29,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,2127.231
NCF43,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,2862.94
FDY08,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,3231.1274
FDD17,Low Fat,Frozen Foods,OUT010,1998,Tier 3,Grocery Store,237.6906
FDK41,Low Fat,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,1022.6688
DRN59,Low Fat,Hard Drinks,OUT045,2002,Tier 2,Supermarket Type1,466.06
FDR60,Low Fat,Baking Goods,OUT013,1987,Tier 3,Supermarket Type1,617.8624
DRO47,Low Fat,Hard Drinks,OUT010,1998,Tier 3,Grocery Store,113.186
FDF26,Regular,Canned,OUT035,2004,Tier 2,Supermarket Type1,3075.996
FDQ12,Low Fat,Baking Goods,OUT046,1997,Tier 1,Supermarket Type1,2067.309
NCO29,Low Fat,Health and Hygiene,OUT035,2004,Tier 2,Supermarket Type1,4769.1254
DRF03,Low Fat,Dairy,OUT049,1999,Tier 1,Supermarket Type1,243.6828
FDU48,Low Fat,Baking Goods,OUT010,1998,Tier 3,Grocery Store,263.6568
DRE03,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,945.436
FDX55,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,1306.2996
FDP38,Low Fat,Canned,OUT027,1985,Tier 3,Supermarket Type3,1821.6288
FDZ19,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,1230.3984
NCU54,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,1887.543
FDY36,Low Fat,Baking Goods,OUT046,1997,Tier 1,Supermarket Type1,1318.284
FDL16,Low Fat,Frozen Foods,OUT018,2009,Tier 3,Supermarket Type2,186.424
FDW31,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,995.371
DRK49,Low Fat,Soft Drinks,OUT027,1985,Tier 3,Supermarket Type3,1380.8692
FDC08,Regular,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,905.488
FDO56,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,1874.8928
NCV53,Low Fat,Health and Hygiene,OUT017,2007,Tier 2,Supermarket Type1,6231.888
FDA35,Regular,Baking Goods,OUT017,2007,Tier 2,Supermarket Type1,1837.608
FDL40,Low Fat,Frozen Foods,OUT019,1985,Tier 1,Grocery Store,289.623
FDJ04,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,2133.2232
FDA31,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,2250.404
FDX24,Low Fat,Baking Goods,OUT045,2002,Tier 2,Supermarket Type1,1480.7392
FDQ59,Regular,Breads,OUT046,1997,Tier 1,Supermarket Type1,503.3448
FDF45,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,1113.2176
FDH05,Regular,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,6024.1584
NCZ54,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,4711.2008
FDW01,Low Fat,Canned,OUT019,1985,Tier 1,Grocery Store,152.4682
FDX36,Regular,Baking Goods,OUT018,2009,Tier 3,Supermarket Type2,5851.0504
NCO55,Low Fat,Others,OUT027,1985,Tier 3,Supermarket Type3,2251.0698
FDL13,Regular,Breakfast,OUT017,2007,Tier 2,Supermarket Type1,2796.36
FDV16,Regular,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,611.2044
FDN04,Regular,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,3390.2536
NCH06,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,492.692
FDA40,Regular,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,1669.8264
NCS05,Low Fat,Health and Hygiene,OUT049,1999,Tier 1,Supermarket Type1,927.4594
FDM15,Regular,Meat,OUT027,1985,Tier 3,Supermarket Type3,6196.6006
FDK04,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,744.3644
FDI58,Regular,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,466.06
FDB33,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,4137.2812
FDJ45,Low Fat,Seafood,OUT049,1999,Tier 1,Supermarket Type1,207.7296
NCO05,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,2463.46
NCE31,Low Fat,Household,OUT010,1998,Tier 3,Grocery Store,138.4864
FDQ49,Regular,Breakfast,OUT046,1997,Tier 1,Supermarket Type1,1095.241
FDL34,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,2258.3936
FDV07,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,663.1368
FDX19,Low Fat,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,2103.2622
FDO48,Regular,Baking Goods,OUT046,1997,Tier 1,Supermarket Type1,4863.0032
FDK40,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,6048.793
FDY19,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,2239.0854
FDS16,Regular,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,5273.136
FDS02,Regular,Dairy,OUT027,1985,Tier 3,Supermarket Type3,5852.382
FDM51,Regular,Meat,OUT045,2002,Tier 2,Supermarket Type1,1629.8784
FDW02,Regular,Dairy,OUT019,1985,Tier 1,Grocery Store,250.3408
FDS31,Regular,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,180.4318
DRF03,Low Fat,Dairy,OUT018,2009,Tier 3,Supermarket Type2,527.9794
FDT55,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,2840.3028
FDW21,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,1407.5012
FDP07,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,589.233
NCZ17,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,796.9626
NCV41,Low Fat,Health and Hygiene,OUT017,2007,Tier 2,Supermarket Type1,1657.842
FDP60,Low Fat,Baking Goods,OUT049,1999,Tier 1,Supermarket Type1,1518.024
FDG58,Regular,Snack Foods,OUT010,1998,Tier 3,Grocery Store,467.3916
FDI60,Regular,Baking Goods,OUT049,1999,Tier 1,Supermarket Type1,885.514
FDI20,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,3165.879
DRC13,Regular,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,1847.595
DRA24,Regular,Soft Drinks,OUT019,1985,Tier 1,Grocery Store,491.3604
FDW52,Regular,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,1808.9786
FDN38,Regular,Canned,OUT018,2009,Tier 3,Supermarket Type2,4506.1344
DRI49,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,1705.7796
FDW26,Regular,Dairy,OUT045,2002,Tier 2,Supermarket Type1,3113.2808
FDA28,Regular,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,3020.0688
FDZ52,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,1779.0176
FDU39,Low Fat,Meat,OUT045,2002,Tier 2,Supermarket Type1,1185.124
FDR25,Regular,Canned,OUT018,2009,Tier 3,Supermarket Type2,6359.7216
FDM44,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,2167.179
FDA50,Low Fat,Dairy,OUT027,1985,Tier 3,Supermarket Type3,1737.738
FDJ38,Regular,Canned,OUT018,2009,Tier 3,Supermarket Type2,2846.295
DRM47,Low Fat,Hard Drinks,OUT035,2004,Tier 2,Supermarket Type1,6114.7072
NCO05,Low Fat,Health and Hygiene,OUT049,1999,Tier 1,Supermarket Type1,1576.6144
FDU21,Regular,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,373.5138
FDF32,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,1384.1982
FDM27,Regular,Meat,OUT019,1985,Tier 1,Grocery Store,473.3838
FDL33,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,4697.8848
FDO60,Low Fat,Baking Goods,OUT046,1997,Tier 1,Supermarket Type1,892.172
NCJ30,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,2376.906
NCI42,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,2709.1402
FDU37,Regular,Canned,OUT035,2004,Tier 2,Supermarket Type1,1997.4
FDV08,Low Fat,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,755.0172
NCA29,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,2566.659
